epoch,mAP50
1,0.10493
2,0.15074
3,0.16432
4,0.19574
5,0.229
6,0.2764
7,0.31961
8,0.34229
9,0.36187
10,0.38542
11,0.38616
12,0.38671
13,0.4074
14,0.41784
15,0.41706
16,0.42937
17,0.42923
18,0.43913
19,0.43904
20,0.44388
