epoch,mAP50
1,0.44895
2,0.54066
3,0.57663
4,0.62666
5,0.66869
6,0.68154
7,0.69105
8,0.71151
9,0.7246
10,0.73718
11,0.72714
12,0.74144
13,0.74847
14,0.75693
15,0.76131
16,0.77343
17,0.77452
18,0.78191
19,0.78459
20,0.78734
